chembl_id,assay_type,molregno_num,confidence_score
CHEMBL819535,F,67,0
CHEMBL819545,F,71,0
CHEMBL819075,B,40,0
CHEMBL823869,B,44,0
CHEMBL824595,B,70,0
CHEMBL823596,B,36,0
CHEMBL820843,B,33,0
CHEMBL819290,F,85,0
CHEMBL823139,F,40,0
CHEMBL823784,F,36,0
CHEMBL823485,B,44,0
CHEMBL821873,B,44,0
CHEMBL823741,F,35,0
CHEMBL842636,F,49,0
CHEMBL842637,F,49,0
CHEMBL844227,F,39,0
CHEMBL844228,F,39,0
CHEMBL844229,F,39,0
CHEMBL843689,F,35,0
CHEMBL841443,B,49,0
CHEMBL841444,A,49,0
CHEMBL843990,F,33,0
CHEMBL842269,F,97,0
CHEMBL845179,F,33,0
CHEMBL845181,F,33,0
CHEMBL845338,F,53,0
CHEMBL845339,F,57,0
CHEMBL845340,F,87,0
CHEMBL844273,A,185,0
CHEMBL844127,F,53,0
CHEMBL849178,F,36,0
CHEMBL849146,A,34,0
CHEMBL847173,F,48,0
CHEMBL847895,F,40,0
CHEMBL840578,F,48,0
CHEMBL884978,F,43,0
CHEMBL849119,B,35,0
CHEMBL884707,B,45,0
CHEMBL848815,B,33,0
CHEMBL846649,F,34,0
CHEMBL848097,B,62,0
CHEMBL848104,F,113,0
CHEMBL845589,B,42,0
CHEMBL847598,F,39,0
CHEMBL847744,F,45,0
CHEMBL847746,F,45,0
CHEMBL843790,B,42,0
CHEMBL849972,B,47,0
CHEMBL845947,F,34,0
CHEMBL851883,B,45,0
CHEMBL852305,B,45,0
CHEMBL849578,B,41,0
CHEMBL852532,F,40,0
CHEMBL852533,F,38,0
CHEMBL851342,F,36,0
CHEMBL847299,B,46,0
CHEMBL847928,B,67,0
CHEMBL849530,B,38,0
CHEMBL839050,B,36,0
CHEMBL851401,B,42,0
CHEMBL851514,B,84,0
CHEMBL852571,F,38,0
CHEMBL850566,B,119,0
CHEMBL848034,F,106,0
CHEMBL847678,F,167,0
CHEMBL848721,A,132,0
CHEMBL848727,F,56,0
CHEMBL849293,B,45,0
CHEMBL851224,F,48,0
CHEMBL852070,B,80,0
CHEMBL850639,B,37,0
CHEMBL850651,B,45,0
CHEMBL850862,F,64,0
CHEMBL840467,B,33,0
CHEMBL850927,B,51,0
CHEMBL847518,F,37,0
CHEMBL848160,B,63,0
CHEMBL848171,B,42,0
CHEMBL839876,B,45,0
CHEMBL850337,B,41,0
CHEMBL850338,B,47,0
CHEMBL851058,B,39,0
CHEMBL882558,B,40,0
CHEMBL852471,B,50,0
CHEMBL848152,B,41,0
CHEMBL850310,A,34,0
CHEMBL850311,A,37,0
CHEMBL851066,A,46,0
CHEMBL851069,A,47,0
CHEMBL881256,A,35,0
CHEMBL851070,A,41,0
CHEMBL851073,A,34,0
CHEMBL851081,A,38,0
CHEMBL841001,A,34,0
CHEMBL841714,A,49,0
CHEMBL850452,A,66,0
CHEMBL852431,A,37,0
CHEMBL841128,A,33,0
CHEMBL839216,F,46,0
CHEMBL839084,P,43,0
CHEMBL839087,A,43,0
CHEMBL850266,P,35,0
CHEMBL876466,P,182,0
CHEMBL839457,A,39,0
CHEMBL827004,B,57,0
CHEMBL839502,B,65,0
CHEMBL827872,B,83,0
